"PC1","PC2","TES"
-6.12669862331205,2.87146729527008,"TES2"
-1.30597994330226,-8.77833384888693,"TES1"
1.52897506045309,-4.14496385490282,"TES1"
1.37323880918253,-5.87975502801341,"TES1"
-4.08062218841544,-11.683342387759,"TES1"
-0.474985692017504,-8.49662157958097,"TES1"
-8.56712650718902,-1.09591978277075,"TES2"
12.3404658157744,1.34963624493748,"TES1"
-4.76699376186313,1.37728067285598,"TES2"
2.97055912833752,-3.32289168905315,"TES1"
-0.989064379305763,-5.38512647612863,"TES1"
1.13249834908557,-2.18073909877875,"TES1"
-5.87275501812926,-6.55801010258422,"TES1"
-16.7047255804094,-2.15772213927957,"TES2"
0.493986264738048,-1.72986000911881,"TES1"
0.722228891754175,-6.61113800292825,"TES1"
3.29997796917478,7.05403662123784,"TES1"
4.09577417511862,2.44757600011609,"TES1"
5.74947040067697,2.94684451643636,"TES1"
4.68535597350525,-0.0918366692148979,"TES1"
-7.07163553851603,-6.80896557546404,"TES1"
6.30535237002491,5.53669583402904,"TES1"
2.04790311160285,5.60097489114976,"TES1"
0.437392811448409,-6.3785562070832,"TES1"
12.4912185055812,2.87605710412977,"TES1"
-10.9650068944275,15.5741127625564,"TES2"
-6.8552441999354,15.8686312472383,"TES2"
1.56111127686015,16.2079086484129,"TES2"
2.22377170888411,19.3949361461358,"TES2"
-3.02771880216501,20.0786445621433,"TES2"
-4.66956862792609,18.3306661744317,"TES2"
-0.893881295285402,13.5744087484784,"TES2"
-0.174579618320924,14.0498252236093,"TES2"
2.82249115145971,19.0334039403312,"TES2"
2.92016572898466,16.4460675116621,"TES2"
-2.36135486370104,12.1950985805979,"TES2"
7.85296018058837,1.04967073694789,"TES1"
5.79409151960794,0.330570719044075,"TES1"
-8.97101287945431,-3.07868205483626,"TES2"
2.32253244283206,4.79298123894447,"TES1"
-13.3207130707539,-2.9088505682154,"TES2"
-2.36520534119993,2.05649701281535,"TES1"
-4.69609579738345,5.2675089041809,"TES2"
11.8471892499361,1.69525032252773,"TES1"
8.4810154652381,3.88893705659728,"TES1"
-1.02324974168245,-5.01674307359132,"TES1"
-15.2656558025511,5.2761683794852,"TES2"
-19.9209138905897,4.76208467650131,"TES2"
-20.0913113357656,6.55407099757887,"TES2"
-18.9768324306992,9.27278123999779,"TES2"
-16.4873775644943,17.6195401713081,"TES2"
-18.4925574980916,11.9199153989969,"TES2"
-10.818586796348,9.90234617462894,"TES2"
-13.5038156748692,11.4480356278151,"TES2"
-20.82320211521,0.340751998192227,"TES2"
-17.7935018692585,0.472793941292201,"TES2"
-19.6103263230077,10.2520886976541,"TES2"
-13.0277394056222,6.18854969893968,"TES2"
-20.6484596427444,-3.2900658206841,"TES2"
-18.0293060626721,10.3745881960537,"TES2"
-18.5054221113895,14.9480771574135,"TES2"
-18.990208644616,9.49361431246361,"TES2"
-22.3108112502623,12.0971888397433,"TES2"
-14.4208228468389,1.05331567289785,"TES2"
-21.346462740842,2.64776593510318,"TES2"
-7.70326555953888,1.19799087745293,"TES2"
-24.2710660760902,5.1232091082182,"TES2"
-23.4338584462157,8.83684732091253,"TES2"
-16.4105117752218,11.830787764176,"TES2"
-11.4347577464086,10.7492650651794,"TES2"
-17.6300001362714,2.76816724506847,"TES2"
-21.6757671122352,2.27861128902024,"TES2"
-17.6906776468177,5.0649836418049,"TES2"
-23.733428266873,4.29406183459029,"TES2"
-15.2040807313014,1.7513621070681,"TES2"
-17.0517900347451,-0.197694329519931,"TES2"
-14.3757389273345,-5.94540290327354,"TES2"
-20.2646794268685,-0.38163188558549,"TES2"
0.453959075918526,-5.76452322879499,"TES1"
-4.43819795689405,-7.58422605688694,"TES1"
-2.66613739741232,-5.46014294146038,"TES1"
-6.30953807826236,-14.1635673901107,"TES1"
-7.12906870253534,-8.19257060900165,"TES1"
-0.814157634652053,-2.68645814174857,"TES1"
9.40777919213298,9.40047688688676,"TES1"
3.95939792662159,-5.26950174595664,"TES1"
0.792202306635514,-3.54891005745731,"TES1"
3.11056068776331,-6.50291162042375,"TES1"
0.6073780836211,-3.87320513096969,"TES1"
5.6842447263112,-2.21376915341026,"TES1"
2.62701281400154,0.989204174370631,"TES1"
6.39742881726518,-1.04891456816226,"TES1"
0.471104095348719,4.55508504329884,"TES1"
-7.50328453675809,-10.4997495863835,"TES1"
0.674599238418509,-8.50723536253672,"TES1"
-4.03892152084508,-10.1576844361847,"TES1"
8.99192009777882,-4.24556518052556,"TES1"
-3.85640671256892,2.91138313215472,"TES1"
-2.90429443342818,-13.5227897984006,"TES1"
-8.43502742703025,-9.8289971732304,"TES1"
-7.69265048482976,-9.03956968034908,"TES1"
-2.3934685625513,-4.87303221805138,"TES1"
-4.19553762554743,-0.146493190176734,"TES1"
1.32474695236248,5.20257834434733,"TES1"
1.87175065698495,4.62826117014559,"TES1"
-3.19286662884506,-8.11833815067972,"TES1"
10.200282408345,-2.77190600082767,"TES1"
-2.44357699369351,1.98565365272977,"TES1"
2.78201111348328,-2.4145655267473,"TES1"
0.318795346373311,-1.85396258259039,"TES1"
-4.98383595863979,-11.4066829560119,"TES1"
-8.23866655395235,-6.78169787447581,"TES1"
0.884219270582574,-9.5738225649282,"TES1"
-7.7411083689115,-11.9244602490069,"TES1"
-4.33324717692362,-1.68772346366405,"TES1"
-0.284015960555142,1.18840899127589,"TES1"
-8.25629135523227,-19.2817074600569,"TES1"
1.18496418003449,-5.46820993595428,"TES1"
2.65724811526296,-10.7225329985109,"TES1"
-0.655570297321315,-11.6525142229447,"TES1"
6.4544094512886,-8.29395869604312,"TES1"
-7.24655704559027,-15.8651627907081,"TES1"
-1.52303502875792,-6.43739785451799,"TES1"
2.8367436021061,-9.43360003252276,"TES1"
0.234986185971292,3.4679803421839,"TES1"
6.19390019274914,1.08883943967053,"TES1"
5.45480378610982,-1.54519259851801,"TES1"
4.2665380339216,-0.30695050457194,"TES1"
-5.5302088156817,-10.2472003919204,"TES1"
-2.49199758419398,-0.880438305862414,"TES1"
4.4165089055295,-11.5865400798323,"TES1"
10.086448415502,14.5385429698971,"TES1"
7.81674428605456,8.24501673043726,"TES1"
9.62836079650283,5.36421166010303,"TES1"
4.40369561409127,4.09235988057037,"TES1"
7.89356449371863,4.99199731197668,"TES1"
8.87190893342346,7.98016003105049,"TES1"
11.2343341314765,3.9652431197156,"TES1"
1.40827564957526,12.1636855023559,"TES1"
-9.04633026624979,4.4529891083388,"TES2"
3.87702183460649,9.75610821039423,"TES1"
-4.99567065373808,13.56779625957,"TES2"
5.94128240134603,7.69351841515233,"TES1"
2.11941332517144,-5.67443867862719,"TES1"
-10.3045851647016,0.869346406384051,"TES2"
-4.04260537089369,-8.62661113043086,"TES1"
5.92105481072423,4.4304400189486,"TES1"
-2.20069650505992,-4.32170045463816,"TES1"
13.764317385678,9.30617058734242,"TES1"
3.00765999192677,2.76406343788983,"TES1"
2.27213083737516,1.46203011455045,"TES1"
-1.29381828669962,-0.95422126219968,"TES1"
4.949563891906,3.94499393152969,"TES1"
0.0882031831092773,0.325471176035813,"TES1"
7.025672668529,6.98909429943151,"TES1"
-1.44731155382701,-1.77755027105522,"TES1"
-10.3267222611523,3.01113938730373,"TES2"
9.07536057082441,2.93997946419117,"TES1"
-5.37436243806704,-7.9737147584812,"TES1"
-0.919450467327623,10.2988269896087,"TES1"
4.27528706114929,-0.362449804060366,"TES1"
-1.05116736478819,14.7742480699069,"TES2"
9.88218379366976,7.97279112997023,"TES1"
11.2413904477611,14.854331765098,"TES1"
7.2722519921843,2.76227471646835,"TES1"
-2.92992870537529,4.81590329843824,"TES1"
3.6876583042741,4.2550721533121,"TES1"
3.54058731032176,3.5942009147554,"TES1"
6.26597055521663,2.56856379950112,"TES1"
14.8841451776778,3.63791711949079,"TES1"
10.4071791796312,5.773522711726,"TES1"
12.3751478194228,6.85086357126829,"TES1"
-1.8761499484345,-1.19952278242078,"TES1"
7.34268154433877,5.83594766008553,"TES1"
1.62722768101027,12.1815073670943,"TES1"
-9.53232721520096,2.75336207644009,"TES2"
6.71964177120566,11.9329611923407,"TES1"
11.3831878739249,5.70667037528406,"TES1"
10.7231079743536,7.49229164511065,"TES1"
7.53358085409912,9.96237795007054,"TES1"
13.8230248253168,13.6032957060415,"TES1"
13.5575081601175,2.51548771303704,"TES1"
12.5474817087805,9.46896954899913,"TES1"
5.26298455057448,-3.30484729969792,"TES1"
11.7857781654042,1.81252581806088,"TES1"
3.81586561343416,-6.17234469145632,"TES1"
8.58413429220535,-5.13713801368414,"TES1"
12.4782187887205,1.11926949794369,"TES1"
14.0244400652518,2.74619201511098,"TES1"
17.7796000122092,8.190517887459,"TES1"
9.64873359671384,3.90382648058826,"TES1"
5.96756052254707,-1.3053138349221,"TES1"
5.98489141264736,10.1481007057807,"TES1"
13.8689291130109,7.51519390963121,"TES1"
11.0819939752299,12.3108150151089,"TES1"
5.09124954001052,9.7414828098719,"TES1"
13.9140544582284,1.49048986943068,"TES1"
3.04999274847997,0.732784521867575,"TES1"
14.1895534355175,4.10486471460463,"TES1"
-2.01860321703585,4.74673701730135,"TES1"
0.348693878089726,1.48967863709745,"TES1"
-0.0540148701140172,-3.47596529292975,"TES1"
4.52267925256114,-2.98380541868151,"TES1"
-5.05018092549029,2.41144862850985,"TES1"
1.14990201841879,-4.85951544182233,"TES1"
4.56555613231939,1.29712143206419,"TES1"
-0.888569635739932,-5.49184187377916,"TES1"
-2.33493920244808,-10.0832802365125,"TES1"
11.8839715763445,-0.487643263162793,"TES1"
-3.50065910086077,-2.85058754304967,"TES1"
-0.23950807319596,-4.23643197254677,"TES1"
-5.41005796540891,-6.24890477738044,"TES1"
13.214705584821,8.79537646953847,"TES1"
11.328680089964,10.3562471031883,"TES1"
14.0011302441405,4.14067955209043,"TES1"
4.17708719358865,1.71502935018256,"TES1"
-3.26684086930299,1.15088077207068,"TES1"
-1.56353838138008,4.22700625978406,"TES1"
-9.24881667230365,1.66857867670345,"TES2"
-4.50110273592362,-2.040187240209,"TES1"
-4.60174865385577,-3.87898604109466,"TES1"
-7.21287649256301,-1.37164915246831,"TES1"
4.51630962693083,2.27268999987212,"TES1"
-2.39967288662708,4.76117387537697,"TES1"
9.10443463590468,5.31736636575507,"TES1"
3.87613993955906,5.85219130450097,"TES1"
-3.85602235567631,-0.0877084576750273,"TES1"
4.27702252860128,1.3338625029755,"TES1"
1.70644872795432,4.06142573385614,"TES1"
10.3647522025968,7.91235445946354,"TES1"
-2.53006381775609,-1.75282156303152,"TES1"
-8.88946741579755,5.87470041430414,"TES2"
-8.70593856135909,-1.65101681577558,"TES2"
3.91870052125936,0.779734490182434,"TES1"
-11.0732095852659,1.40419779445559,"TES2"
-0.743414927523688,13.3960558952203,"TES2"
-5.09516240132767,-0.997369192129367,"TES1"
-2.64106409495311,2.18926476918721,"TES1"
-9.99620595343651,3.75146795327889,"TES2"
-6.45277006568943,5.03172450232607,"TES2"
-5.07144934843777,12.8865557919947,"TES2"
-15.0813278660687,0.478939634280507,"TES2"
-11.4857564303208,-1.79248142297557,"TES2"
-8.48061869613841,-1.11211878431585,"TES2"
0.375980398197791,-1.33847502146035,"TES1"
-5.83332822083911,2.38160442282668,"TES2"
2.94262829636977,-1.79619261295179,"TES1"
-4.60509488178289,-1.07406595895902,"TES1"
9.53516284198931,-4.16849150938258,"TES1"
-4.83558380411272,-15.4329573432473,"TES1"
-1.26759256473228,-4.45734593885688,"TES1"
3.90738391558421,0.866079749108393,"TES1"
3.02350875315824,-6.35324087716306,"TES1"
-1.61089187532415,-7.611367979188,"TES1"
8.01173500039641,-8.53197443954817,"TES1"
0.563256092790277,-4.37794569054887,"TES1"
-1.74078053644963,-9.79163943492922,"TES1"
3.57024688604816,-8.66448391252516,"TES1"
7.68333038375561,-0.43973204796717,"TES1"
9.11949642442639,-8.63608880239746,"TES1"
10.4746734281083,1.54712136446993,"TES1"
1.68585902204575,-8.66718849859656,"TES1"
9.37024824000656,0.554577572192284,"TES1"
3.90417744393999,-10.4933558738565,"TES1"
4.96527529534023,-2.30387230651561,"TES1"
-2.30551988629933,-10.577797335122,"TES1"
9.84103978118318,-2.01472905875658,"TES1"
6.98424010731575,-3.92199162192053,"TES1"
6.21502506069244,-5.8140762874882,"TES1"
0.431194351256653,-5.0500259321782,"TES1"
5.75651220899957,-1.45841369541315,"TES1"
1.66602928826434,-7.41604684147313,"TES1"
8.7095346687283,-1.30984320752558,"TES1"
2.97109998944428,2.39505979859975,"TES1"
8.26140152383365,-6.44947609642048,"TES1"
-7.81917679177804,-6.78339819595467,"TES1"
-4.11732343783656,-3.00804267149383,"TES1"
5.23865409700479,-1.59458769459655,"TES1"
3.96052302920378,-4.84779725632624,"TES1"
1.53278121197341,-0.310682947621035,"TES1"
-1.99999527796067,-4.01294046829987,"TES1"
5.62881210700788,-10.8843429844082,"TES1"
-6.20323132965849,-15.6135303475412,"TES1"
10.9861623163847,-12.738540897328,"TES1"
9.0722508433385,-13.8642967320125,"TES1"
4.25572840115563,-16.3802393660767,"TES1"
-6.5452234005941,-3.26747097202081,"TES1"
-2.84347109802031,-8.8031932282025,"TES1"
12.1174897296414,-0.234100747668479,"TES1"
8.07795375105048,-11.7569064792118,"TES1"
14.0948097215237,5.06358382044969,"TES1"
0.493442306651861,-6.20000989544363,"TES1"
1.80815854877688,-11.1405729365613,"TES1"
7.41860349740648,-5.29619176401243,"TES1"
1.93525936136541,3.44579306369554,"TES1"
-0.406577803454926,0.316064907228607,"TES1"
8.66673159393642,-4.09585838101371,"TES1"
-1.20903386861349,2.6737160531205,"TES1"
-0.0230785830352635,-12.1064032492035,"TES1"
4.15356224066028,4.12590252235854,"TES1"
8.76349609144482,4.11308629474449,"TES1"
8.60450973524494,14.2681093793031,"TES1"
4.25285132392277,-4.98715549606777,"TES1"
-4.60922862442528,-5.58502420668256,"TES1"
-4.3305894517702,6.67707957917225,"TES1"
-3.74735669282743,-3.98070679110947,"TES1"
2.11158724178785,0.189686711177095,"TES1"
5.93902315616022,-1.27582628548398,"TES1"
2.01348227529812,-3.5802008535605,"TES1"
-2.49452137822568,-7.75122906443874,"TES1"
-8.47317448896064,-11.0739139319836,"TES1"
1.46897178981945,0.182095233179814,"TES1"
-3.91490852036927,-9.44177978199593,"TES1"
1.21570175045051,-1.156553708306,"TES1"
-1.19090816380687,-1.89492078019908,"TES1"
-0.192319542174765,-8.51715145308334,"TES1"
3.38382039451794,-14.9523475613817,"TES1"
8.08873960635817,-14.7511270588201,"TES1"
-2.47165946056695,-5.95814718794545,"TES1"
-2.48552376903608,-3.73762551678532,"TES1"
6.85090782157074,-5.48345604417631,"TES1"
5.74744274997188,-0.189786248371932,"TES1"
-0.24525308447205,-0.086238834663422,"TES1"
5.38548552382661,-4.24178130476021,"TES1"
-8.21180970509891,6.05458706077585,"TES2"
-0.106501028040991,-0.331744927715103,"TES1"
-0.0267067915368958,-4.68638220698263,"TES1"
-2.7029651862323,2.79874632626451,"TES1"
-5.23265889261942,3.11249010594241,"TES2"
-2.50290590666535,-6.76874637407463,"TES1"
-10.4934644160997,2.5594114907892,"TES2"
-1.61087909892782,-1.69096410553423,"TES1"
-5.30966322499742,-10.5013742393073,"TES1"
-2.2754660950597,-2.80037403582547,"TES1"
-3.63795601893586,1.13855497023987,"TES1"
-0.794003472678258,-5.75162880369434,"TES1"
